Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
4,Ca,0,5,Cip,3,Lp
4,Lp,4,3,Cip,1,Ca
4,Lp,4,3,Cip,2,Ca
4,Lp,1,3,Cip,3,Ca
4,Lp,12,5,Cip,1,Lp
4,Lp,10,5,Cip,2,Lp
4,Lp,8,5,Cip,3,Lp
4,Ca,1,1,Gent,1,Ca
4,Ca,4,1,Gent,2,Ca
4,Ca,1,1,Gent,3,Ca
4,Ca,0,5,Gent,1,Lp
4,Ca,0,5,Gent,2,Lp
4,Ca,0,5,Gent,3,Lp
4,Lp,0,1,Gent,1,Ca
4,Lp,0,1,Gent,2,Ca
4,Lp,0,1,Gent,3,Ca
4,Lp,0,1,Gent,1,Lp
4,Lp,0,1,Gent,2,Lp
4,Lp,0,1,Gent,3,Lp
4,Ca,3,1,Kan,1,Ca
4,Ca,0,1,Kan,2,Ca
4,Ca,0,1,Kan,3,Ca
4,Ca,0,5,Kan,1,Lp
4,Ca,0,5,Kan,2,Lp
4,Ca,0,5,Kan,3,Lp
4,Lp,15,2,Kan,1,Ca
4,Lp,18,2,Kan,2,Ca
4,Lp,20,2,Kan,3,Ca
4,Lp,35,3,Kan,1,Lp
4,Lp,20,3,Kan,2,Lp
4,Lp,19,3,Kan,3,Lp
4,Ca,25,4,Tet,1,Ca
4,Ca,19,4,Tet,2,Ca
4,Ca,24,4,Tet,3,Ca
4,Ca,1,2,Tet,1,Lp
4,Ca,7,2,Tet,2,Lp
4,Ca,5,2,Tet,3,Lp
4,Lp,28,2,Tet,1,Ca
4,Lp,22,2,Tet,2,Ca
4,Lp,19,2,Tet,3,Ca
4,Lp,4,4,Tet,1,Lp
4,Lp,4,4,Tet,2,Lp
4,Lp,3,4,Tet,3,Lp
4,Ca,5,5,Ery,1,Ca
4,Lp,19,3,Ery,1,Ca
4,Ca,5,3,Ery,1,Lp
4,Lp,14,4,Ery,1,Lp
4,Ca,14,5,Ery,2,Ca
4,Lp,14,3,Ery,2,Ca
4,Ca,3,3,Ery,2,Lp
4,Lp,22,4,Ery,2,Lp
4,Ca,28,5,Ery,3,Ca
4,Lp,20,3,Ery,3,Ca
4,Ca,2,3,Ery,3,Lp
4,Lp,20,4,Ery,3,Lp
5,Ca,4,6,Amp,1,Ca
5,Ca,2,6,Amp,2,Ca
5,Ca,5,6,Amp,3,Ca
5,Ca,6,3,Amp,1,Lp
5,Ca,5,3,Amp,2,Lp
5,Ca,2,3,Amp,3,Lp
5,Lp,13,4,Amp,1,Ca
5,Lp,7,4,Amp,2,Ca
5,Lp,10,4,Amp,3,Ca
5,Lp,11,4,Amp,1,Lp
5,Lp,12,4,Amp,2,Lp
5,Lp,8,4,Amp,3,Lp
5,Ca,4,6,Car,1,Ca
5,Ca,4,6,Car,2,Ca
5,Ca,1,6,Car,3,Ca
5,Ca,0,1,Car,1,Lp
5,Ca,0,1,Car,2,Lp
5,Ca,0,1,Car,3,Lp
5,Lp,12,4,Car,1,Ca
5,Lp,7,4,Car,2,Ca
5,Lp,9,4,Car,3,Ca
5,Lp,9,6,Car,1,Lp
5,Lp,8,6,Car,2,Lp
5,Lp,12,6,Car,3,Lp
5,Ca,10,5,Chl,1,Ca
5,Ca,18,5,Chl,2,Ca
5,Ca,22,5,Chl,3,Ca
5,Ca,2,6,Chl,1,Lp
5,Ca,7,6,Chl,2,Lp
5,Ca,10,6,Chl,3,Lp
5,Lp,8,4,Chl,1,Ca
5,Lp,14,4,Chl,2,Ca
5,Lp,7,4,Chl,3,Ca
5,Lp,32,5,Chl,1,Lp
5,Lp,34,5,Chl,2,Lp
5,Lp,32,5,Chl,3,Lp
5,Ca,0,6,Cip,1,Ca
5,Ca,0,6,Cip,2,Ca
5,Ca,0,6,Cip,3,Ca
5,Ca,0,6,Cip,1,Lp
5,Ca,0,6,Cip,2,Lp
5,Ca,0,6,Cip,3,Lp
5,Lp,3,6,Cip,1,Ca
5,Lp,9,6,Cip,2,Ca
5,Lp,7,6,Cip,3,Ca
5,Lp,13,5,Cip,1,Lp
5,Lp,19,5,Cip,2,Lp
5,Lp,9,5,Cip,3,Lp
5,Ca,0,6,Gent,1,Ca
5,Ca,0,6,Gent,2,Ca
5,Ca,0,6,Gent,3,Ca
5,Ca,0,6,Gent,1,Lp
5,Ca,0,6,Gent,2,Lp
5,Ca,0,6,Gent,3,Lp
5,Lp,4,1,Gent,1,Ca
5,Lp,9,1,Gent,2,Ca
5,Lp,1,1,Gent,3,Ca
5,Lp,8,3,Gent,1,Lp
5,Lp,10,3,Gent,2,Lp
5,Lp,12,3,Gent,3,Lp
5,Ca,0,6,Kan,1,Ca
5,Ca,0,6,Kan,2,Ca
5,Ca,0,6,Kan,3,Ca
5,Ca,0,6,Kan,1,Lp
5,Ca,0,6,Kan,2,Lp
5,Ca,0,6,Kan,3,Lp
5,Lp,4,4,Kan,1,Ca
5,Lp,11,4,Kan,2,Ca
5,Lp,2,4,Kan,3,Ca
5,Lp,19,5,Kan,1,Lp
5,Lp,14,5,Kan,2,Lp
5,Lp,17,5,Kan,3,Lp
5,Ca,0,6,Tet,1,Ca
5,Ca,0,6,Tet,2,Ca
5,Ca,0,6,Tet,3,Ca
5,Ca,0,6,Tet,1,Lp
5,Ca,0,6,Tet,2,Lp
5,Ca,0,6,Tet,3,Lp
5,Lp,32,5,Tet,1,Ca
5,Lp,35,5,Tet,2,Ca
5,Lp,27,5,Tet,3,Ca
5,Lp,18,5,Tet,1,Lp
5,Lp,23,5,Tet,2,Lp
5,Lp,22,5,Tet,3,Lp
5,Ca,13,6,Ery,1,Ca
5,Lp,9,2,Ery,1,Ca
5,Ca,5,6,Ery,1,Lp
5,Lp,15,4,Ery,1,Lp
5,Ca,11,6,Ery,2,Ca
5,Lp,13,2,Ery,2,Ca
5,Ca,10,6,Ery,2,Lp
5,Lp,21,4,Ery,2,Lp
5,Ca,15,6,Ery,3,Ca
5,Lp,35,2,Ery,3,Ca
5,Ca,8,6,Ery,3,Lp
5,Lp,11,4,Ery,3,Lp
6,Ca,17,6,Amp,1,Ca
6,Ca,11,6,Amp,2,Ca
6,Ca,10,6,Amp,3,Ca
6,Ca,4,6,Amp,1,Lp
6,Ca,17,6,Amp,2,Lp
6,Ca,12,6,Amp,3,Lp
6,Lp,8,5,Amp,1,Ca
6,Lp,6,5,Amp,2,Ca
6,Lp,0.08,5,Amp,3,Ca
6,Lp,40,4,Amp,1,Lp
6,Lp,24,4,Amp,2,Lp
6,Lp,70,4,Amp,3,Lp
6,Ca,19,6,Car,1,Ca
6,Ca,17,6,Car,2,Ca
6,Ca,13,6,Car,3,Ca
6,Ca,0,6,Car,1,Lp
6,Ca,0,6,Car,2,Lp
6,Ca,0,6,Car,3,Lp
6,Lp,1100,3,Car,1,Ca
6,Lp,4,3,Car,2,Ca
6,Lp,7,3,Car,3,Ca
6,Lp,20,5,Car,1,Lp
6,Lp,20,5,Car,2,Lp
6,Lp,13,5,Car,3,Lp
6,Ca,10,6,Chl,1,Ca
6,Ca,12,6,Chl,2,Ca
6,Ca,8,6,Chl,3,Ca
6,Ca,7,6,Chl,1,Lp
6,Ca,16,6,Chl,2,Lp
6,Ca,12,6,Chl,3,Lp
6,Lp,60,3,Chl,1,Ca
6,Lp,7,3,Chl,2,Ca
6,Lp,2.7,3,Chl,3,Ca
6,Lp,8,2,Chl,1,Lp
6,Lp,9,2,Chl,2,Lp
6,Lp,33,2,Chl,3,Lp
6,Ca,0,6,Cip,1,Ca
6,Ca,0,6,Cip,2,Ca
6,Ca,0,6,Cip,3,Ca
6,Ca,0,6,Cip,1,Lp
6,Ca,0,6,Cip,2,Lp
6,Ca,0,6,Cip,3,Lp
6,Lp,16,5,Cip,1,Ca
6,Lp,21,5,Cip,2,Ca
6,Lp,23,5,Cip,3,Ca
6,Lp,24,5,Cip,1,Lp
6,Lp,30,5,Cip,2,Lp
6,Lp,22,5,Cip,3,Lp
6,Ca,6,6,Gent,1,Ca
6,Ca,5,6,Gent,2,Ca
6,Ca,4,6,Gent,3,Ca
6,Ca,10,6,Gent,1,Lp
6,Ca,6,6,Gent,2,Lp
6,Ca,9,6,Gent,3,Lp
6,Lp,48,4,Gent,1,Ca
6,Lp,13,4,Gent,2,Ca
6,Lp,4,4,Gent,3,Ca
6,Lp,23,3,Gent,1,Lp
6,Lp,100,3,Gent,2,Lp
6,Lp,17,3,Gent,3,Lp
6,Ca,4,6,Kan,1,Ca
6,Ca,6,6,Kan,2,Ca
6,Ca,5,6,Kan,3,Ca
6,Ca,0,6,Kan,1,Lp
6,Ca,0,6,Kan,2,Lp
