Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
2,Ca,0,6,Kan,3,Lp
2,Lp,10,2,Kan,1,Ca
2,Lp,6,2,Kan,2,Ca
2,Lp,10,2,Kan,3,Ca
2,Lp,12,5,Kan,1,Lp
2,Lp,15,5,Kan,2,Lp
2,Lp,15,5,Kan,3,Lp
3,Ca,9,6,Kan,1,Ca
3,Ca,7,6,Kan,2,Ca
3,Ca,4,6,Kan,3,Ca
3,Ca,0,6,Kan,1,Lp
3,Ca,0,6,Kan,2,Lp
3,Ca,0,6,Kan,3,Lp
3,Lp,6,1,Kan,1,Ca
3,Lp,4,1,Kan,2,Ca
3,Lp,6,1,Kan,3,Ca
3,Lp,13,5,Kan,1,Lp
3,Lp,21,5,Kan,2,Lp
3,Lp,15,5,Kan,3,Lp
4,Ca,3,1,Kan,1,Ca
4,Ca,0,1,Kan,2,Ca
