"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"212","col_conc","F11","R2","0.101309263644583","-4.35148941368193","0.872105644829497"
"213","col_conc","F11","R3","0.0717086715454866","-4.2538913893664","0.768628450083996"
"214","col_conc","F12","R1","0.485133700894788","-5.24756709095787","0.988373916151364"
"215","col_conc","F12","R2","0.523115435592606","-5.14624696276087","0.991673611799296"
"216","col_conc","F12","R3","0.534073716731954","-5.38109411345777","0.988800476602593"
"217","col_conc","G1","R1","0.0768182865897236","-4.55403777342929","0.373739345129774"
"218","col_conc","G1","R2","0","0","0"
"219","col_conc","G1","R3","0","0","0"
"220","col_conc","G2","R1","0","0","0"
"221","col_conc","G2","R2","0","0","0"
"222","col_conc","G2","R3","0","0","0"
"223","col_conc","G3","R1","0.0330587899582236","-4.18699225053287","0.115771253133076"
"224","col_conc","G3","R2","0","0","0"
"225","col_conc","G3","R3","0","0","0"
"226","col_conc","G4","R1","0.0605207162379004","-4.24504946468813","0.162504202360712"
"227","col_conc","G4","R2","0","0","0"
"228","col_conc","G4","R3","0","0","0"
"229","col_conc","G5","R1","0.0815549689692561","-4.42171698504299","0.355874561455724"
"230","col_conc","G5","R2","0","0","0"
"231","col_conc","G5","R3","0","0","0"
"232","col_conc","G6","R1","0.0656385182895037","-4.39765994916593","0.291489359777159"
"233","col_conc","G6","R2","0","0","0"
"234","col_conc","G6","R3","0","0","0"
"235","col_conc","G7","R1","0.0766817954261462","-4.5355897441357","0.384113584437227"
"236","col_conc","G7","R2","0","0","0"
"237","col_conc","G7","R3","0","0","0"
"238","col_conc","G8","R1","0.0965385387431264","-4.61515758470548","0.580306906114476"
"239","col_conc","G8","R2","0","0","0"
"240","col_conc","G8","R3","0","0","0"
"241","col_conc","G9","R1","0","0","0"
"242","col_conc","G9","R2","0","0","0"
"243","col_conc","G9","R3","0","0","0"
"244","col_conc","G10","R1","0","0","0"
"245","col_conc","G10","R2","0","0","0"
"246","col_conc","G10","R3","0","0","0"
"247","col_conc","G11","R1","0.0718213707682836","-4.32524308205809","0.817590929437131"
"248","col_conc","G11","R2","0.102459572933478","-4.27651544902314","0.790279618934246"
"249","col_conc","G11","R3","0.292878491125568","-4.83778267449851","0.930226879372675"
"250","col_conc","G12","R1","0.504528330213057","-5.2735052056014","0.985721647643988"
"251","col_conc","G12","R2","0.593651720876626","-5.37728715084913","0.986919829179419"
"252","col_conc","G12","R3","0.59909705512473","-5.56308351883254","0.988971186400112"
"253","col_conc","H1","R1","0","0","0"
"254","col_conc","H1","R2","0","0","0"
"255","col_conc","H1","R3","0","0","0"
"256","col_conc","H2","R1","0","0","0"
"257","col_conc","H2","R2","0","0","0"
"258","col_conc","H2","R3","0","0","0"
"259","col_conc","H3","R1","0","0","0"
"260","col_conc","H3","R2","0","0","0"
"261","col_conc","H3","R3","0","0","0"
"262","col_conc","H4","R1","0","0","0"
"263","col_conc","H4","R2","0","0","0"
"264","col_conc","H4","R3","0","0","0"
"265","col_conc","H5","R1","0","0","0"
"266","col_conc","H5","R2","0","0","0"
"267","col_conc","H5","R3","0","0","0"
"268","col_conc","H6","R1","0","0","0"
"269","col_conc","H6","R2","0","0","0"
"270","col_conc","H6","R3","0","0","0"
"271","col_conc","H7","R1","0","0","0"
"272","col_conc","H7","R2","0","0","0"
"273","col_conc","H7","R3","-0.00482187162836712","-3.61544734126192","0.00454146688890324"
"274","col_conc","H8","R1","0","0","0"
"275","col_conc","H8","R2","0","0","0"
"276","col_conc","H8","R3","-0.00996112970274865","-3.48987537681609","0.019954775267478"
"277","col_conc","H9","R1","0.159987800077702","-4.9728949867331","0.95711166955233"
"278","col_conc","H9","R2","0.137400312591663","-4.77780134017378","0.94897160035934"
"279","col_conc","H9","R3","0.15931019146793","-4.91197194105932","0.969167737728305"
"280","col_conc","H10","R1","0.255824952917787","-4.99839657273333","0.991853336949315"
"281","col_conc","H10","R2","0.220680833981669","-4.82882502132554","0.978530885283237"
"282","col_conc","H10","R3","0.25227806562899","-4.89103437882117","0.987172307944465"
"283","col_conc","H11","R1","0.402690180375632","-5.31050104547049","0.992015754142708"
"284","col_conc","H11","R2","0.350427363646513","-5.06472151434816","0.981022416632505"
"285","col_conc","H11","R3","0.3893734628772","-5.17308339830867","0.989817347889434"
"286","col_conc","H12","R1","0.500505724827569","-5.32087614638339","0.981079971359994"
"287","col_conc","H12","R2","0.578931186593349","-5.32339938440364","0.993857498762221"
"288","col_conc","H12","R3","0.542726680947199","-5.31858091627802","0.990826786562966"
