"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"231","col_conc","G5","R3","0","0","0"
"232","col_conc","G6","R1","0","0","0"
"233","col_conc","G6","R2","0","0","0"
"234","col_conc","G6","R3","0","0","0"
"235","col_conc","G7","R1","0","0","0"
"236","col_conc","G7","R2","0","0","0"
"237","col_conc","G7","R3","0","0","0"
"238","col_conc","G8","R1","0.258846128355794","-4.87401514795","0.96701551346173"
"239","col_conc","G8","R2","0","0","0"
"240","col_conc","G8","R3","0.261333420202737","-5.33686513671473","0.976610571112432"
"241","col_conc","G9","R1","0.363557152082925","-5.31603417195995","0.988596304465686"
"242","col_conc","G9","R2","0.295390581670431","-5.2757325757968","0.983463463542792"
"243","col_conc","G9","R3","0.361260800421686","-5.68712600207754","0.992962940685834"
"244","col_conc","G10","R1","0.397058659693208","-5.36825419208526","0.99529763389839"
"245","col_conc","G10","R2","0.347076968770091","-5.39313553561767","0.995610539944876"
"246","col_conc","G10","R3","0.270444725068485","-4.83801747340183","0.990854334723742"
"247","col_conc","G11","R1","0.410592789585556","-5.35509878713469","0.996395284255239"
"248","col_conc","G11","R2","0.364723595763988","-5.38293401705756","0.998244123802251"
"249","col_conc","G11","R3","0.402242655869718","-5.70636598198624","0.998163945321459"
"250","col_conc","G12","R1","0.400726520840526","-5.14412456920447","0.997679932567342"
"251","col_conc","G12","R2","0.394569176484401","-5.44984355715002","0.998748505529137"
"252","col_conc","G12","R3","0.41610252472891","-5.68919609304032","0.998534725745431"
"253","col_conc","H1","R1","0","0","0"
"254","col_conc","H1","R2","0","0","0"
"255","col_conc","H1","R3","0","0","0"
"256","col_conc","H2","R1","0","0","0"
"257","col_conc","H2","R2","0","0","0"
"258","col_conc","H2","R3","0","0","0"
"259","col_conc","H3","R1","0","0","0"
"260","col_conc","H3","R2","0","0","0"
"261","col_conc","H3","R3","0","0","0"
"262","col_conc","H4","R1","0.213525195685427","-5.41674381314687","0.994103706060639"
"263","col_conc","H4","R2","0","0","0"
"264","col_conc","H4","R3","0","0","0"
"265","col_conc","H5","R1","0.208687104364586","-4.99346477482429","0.975677777970311"
"266","col_conc","H5","R2","0","0","0"
"267","col_conc","H5","R3","0","0","0"
"268","col_conc","H6","R1","0.242727886847624","-5.01486174751579","0.984189424404366"
"269","col_conc","H6","R2","0.210826239852999","-5.07921450725548","0.988157407060139"
"270","col_conc","H6","R3","0.243939260263504","-5.54201108764855","0.993698980645533"
"271","col_conc","H7","R1","0.303937274128809","-5.24609898566723","0.99269861394146"
"272","col_conc","H7","R2","0.269157364799518","-5.24801220749571","0.996267398272328"
"273","col_conc","H7","R3","0.328329388572812","-5.85417665503714","0.996986428824717"
