Species,Well,Fila,Columna,Antibiotic,Concentration,SlopeR1,InterceptR1,RsquareR1,SlopeR2,InterceptR2,RsquareR2,SlopeR3,InterceptR3,RsquareR3,R1_GrowthRateRelativeToMax,R2_GrowthRateRelativeToMax,R3_GrowthRateRelativeToMax
Ca,F3,F,3,Gent,6.25,0.122401805266452,-4.6821423749691,0.425390365805535,0,0,0,0,0,0,0.226670009752689,0,0
Ca,F4,F,4,Gent,3.125,0.131656589160222,-4.48026046896415,0.411109596680535,0,0,0,0,0,0,0.243808498444856,0,0
Ca,F5,F,5,Gent,1.5625,0.123315313262121,-4.54070158385172,0.498027470678008,0,0,0,0,0,0,0.228361691226150,0,0
Ca,F6,F,6,Gent,0.78125,0.124454785587194,-4.59307064220364,0.577973053808475,0,0,0,0,0,0,0.230471825161470,0,0
Ca,F7,F,7,Gent,0.390625,0.1124699404309,-4.5289226399975,0.497340366500278,0,0,0,0,0,0,0.2082776674646,0,0
Ca,F8,F,8,Gent,0.1953125,0,0,0,0,0,0,0,0,0,0,0,0
Ca,F9,F,9,Gent,0.09765625,0.121544018928563,-4.66148488661151,0.747834558292554,0,0,0,0,0,0,0.225081516534376,0,0
Ca,F10,F,10,Gent,0.048828125,0.131116807907434,-4.84198355437691,0.869331876367641,0.0905029011564894,-4.54034866214453,0.60707533015088,0.0584524627381741,-4.40635241875945,0.609424918477519,0.242808903532285,0.1675979651046100,0.1082453013669890
Ca,F11,F,11,Gent,0.0244140625,0.102792679053101,-4.75396480553833,0.924416117260326,0.101309263644583,-4.35148941368193,0.872105644829497,0.0717086715454866,-4.2538913893664,0.768628450083996,0.190356813061298,0.187609747489969,0.1327938361953460
Ca,F12,F,12,Gent,0.01220703125,0.485133700894788,-5.24756709095787,0.988373916151364,0.523115435592606,-5.14624696276087,0.991673611799296,0.534073716731954,-5.38109411345777,0.988800476602593,0.898395742397756,0.968732288134456,0.989025401355470
Ca,G1,G,1,Kan,25,0.0768182865897236,-4.55403777342929,0.373739345129774,0,0,0,0,0,0,0.1422560862772660,0,0
Ca,G2,G,2,Kan,12.5,0,0,0,0,0,0,0,0,0,0,0,0
Ca,G3,G,3,Kan,6.25,0.0330587899582236,-4.18699225053287,0.115771253133076,0,0,0,0,0,0,0.0612199814041178,0,0
Ca,G4,G,4,Kan,3.125,0.0605207162379004,-4.24504946468813,0.162504202360712,0,0,0,0,0,0,0.1120754004405560,0,0
Ca,G5,G,5,Kan,1.5625,0.0815549689692561,-4.42171698504299,0.355874561455724,0,0,0,0,0,0,0.1510277203134370,0,0
Ca,G6,G,6,Kan,0.78125,0.0656385182895037,-4.39765994916593,0.291489359777159,0,0,0,0,0,0,0.1215528116472290,0,0
